threshold,accuracy,precision_pos,recall_pos,f1_pos,confusion_matrix
0.24000000000000005,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.25000000000000006,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.26000000000000006,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.27,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.28,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.29000000000000004,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.30000000000000004,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.31000000000000005,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.32000000000000006,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.33,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.34,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.35000000000000003,0.5042735042735043,0.5,1.0,0.6666666666666666,"[[1, 58], [0, 58]]"
0.36000000000000004,0.5042735042735043,0.5,1.0,0.6666666666666666,"[[1, 58], [0, 58]]"
0.37000000000000005,0.5042735042735043,0.5,1.0,0.6666666666666666,"[[1, 58], [0, 58]]"
0.38000000000000006,0.48717948717948717,0.49122807017543857,0.9655172413793104,0.6511627906976745,"[[1, 58], [2, 56]]"
0.39000000000000007,0.48717948717948717,0.49122807017543857,0.9655172413793104,0.6511627906976745,"[[1, 58], [2, 56]]"
0.4000000000000001,0.49572649572649574,0.49557522123893805,0.9655172413793104,0.6549707602339181,"[[2, 57], [2, 56]]"
0.4100000000000001,0.5042735042735043,0.5,0.9482758620689655,0.6547619047619048,"[[4, 55], [3, 55]]"
0.42000000000000004,0.5470085470085471,0.5242718446601942,0.9310344827586207,0.6708074534161491,"[[10, 49], [4, 54]]"
0.43000000000000005,0.5982905982905983,0.5578947368421052,0.9137931034482759,0.6928104575163399,"[[17, 42], [5, 53]]"
0.44000000000000006,0.5897435897435898,0.5543478260869565,0.8793103448275862,0.68,"[[18, 41], [7, 51]]"
0.45000000000000007,0.5982905982905983,0.5662650602409639,0.8103448275862069,0.6666666666666666,"[[23, 36], [11, 47]]"
0.4600000000000001,0.5811965811965812,0.5616438356164384,0.7068965517241379,0.6259541984732825,"[[27, 32], [17, 41]]"
0.4700000000000001,0.6153846153846154,0.6031746031746031,0.6551724137931034,0.628099173553719,"[[34, 25], [20, 38]]"
0.4800000000000001,0.6239316239316239,0.625,0.603448275862069,0.6140350877192983,"[[38, 21], [23, 35]]"
0.49000000000000005,0.6410256410256411,0.6481481481481481,0.603448275862069,0.625,"[[40, 19], [23, 35]]"
0.5000000000000001,0.6495726495726496,0.6888888888888889,0.5344827586206896,0.6019417475728155,"[[45, 14], [27, 31]]"
0.5100000000000001,0.5982905982905983,0.6486486486486487,0.41379310344827586,0.5052631578947369,"[[46, 13], [34, 24]]"
0.5200000000000001,0.5982905982905983,0.6486486486486487,0.41379310344827586,0.5052631578947369,"[[46, 13], [34, 24]]"
0.5300000000000001,0.5982905982905983,0.6774193548387096,0.3620689655172414,0.47191011235955055,"[[49, 10], [37, 21]]"
0.5400000000000001,0.5897435897435898,0.6923076923076923,0.3103448275862069,0.42857142857142855,"[[51, 8], [40, 18]]"
0.5500000000000002,0.5555555555555556,0.65,0.22413793103448276,0.3333333333333333,"[[52, 7], [45, 13]]"
0.5600000000000002,0.5555555555555556,0.6666666666666666,0.20689655172413793,0.3157894736842105,"[[53, 6], [46, 12]]"
0.5700000000000002,0.5555555555555556,0.6666666666666666,0.20689655172413793,0.3157894736842105,"[[53, 6], [46, 12]]"
0.5800000000000002,0.5470085470085471,0.6470588235294118,0.1896551724137931,0.29333333333333333,"[[53, 6], [47, 11]]"
0.5900000000000002,0.5470085470085471,0.6470588235294118,0.1896551724137931,0.29333333333333333,"[[53, 6], [47, 11]]"
0.6000000000000002,0.5299145299145299,0.6,0.15517241379310345,0.2465753424657534,"[[53, 6], [49, 9]]"
0.6100000000000001,0.5384615384615384,0.6428571428571429,0.15517241379310345,0.25,"[[54, 5], [49, 9]]"
0.6200000000000001,0.5384615384615384,0.6666666666666666,0.13793103448275862,0.22857142857142856,"[[55, 4], [50, 8]]"
0.6300000000000001,0.5384615384615384,0.6666666666666666,0.13793103448275862,0.22857142857142856,"[[55, 4], [50, 8]]"
0.6400000000000001,0.5299145299145299,0.6363636363636364,0.1206896551724138,0.2028985507246377,"[[55, 4], [51, 7]]"
0.6500000000000001,0.5128205128205128,0.5555555555555556,0.08620689655172414,0.14925373134328357,"[[55, 4], [53, 5]]"
0.6600000000000001,0.5213675213675214,0.625,0.08620689655172414,0.15151515151515152,"[[56, 3], [53, 5]]"
0.6700000000000002,0.5042735042735043,0.5,0.05172413793103448,0.09375,"[[56, 3], [55, 3]]"
0.6800000000000002,0.5128205128205128,0.6,0.05172413793103448,0.09523809523809523,"[[57, 2], [55, 3]]"
0.6900000000000002,0.5299145299145299,1.0,0.05172413793103448,0.09836065573770492,"[[59, 0], [55, 3]]"
